"Category","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Average","Total"
"All Income Sources",92973.84,39323.61,22767.98,107972.29,30344.35,87440.02,63470.35,380822.09
"Adjustment",-0.86,-0.55,-3.03,-1.59,-2.00,0.00,-1.34,-8.03
"Amazon",0.00,110.02,0.00,0.00,0.00,0.00,18.34,110.02
"Apple",8744.40,12690.96,6418.41,3713.44,5738.06,11455.26,8126.76,48760.53
"Bank of America Mobile",0.00,8162.82,0.00,0.00,0.00,0.00,1360.47,8162.82
"Barry Getzen",0.00,0.00,0.00,1000.00,0.00,0.00,166.67,1000.00
"Deposit Mobile Banking",0.00,0.00,0.00,909.30,0.00,133.00,173.72,1042.30
"Disney",79704.97,12177.12,9752.73,12077.78,11879.53,11879.55,22911.95,137471.68
"eCheck Deposit",0.00,0.00,1722.05,0.00,1286.80,0.00,501.48,3008.85
"Gemini",0.00,0.00,0.00,0.00,5080.15,0.00,846.69,5080.15
"Interest Income",0.45,0.40,0.48,0.15,0.15,0.01,0.27,1.64
"Interest Paid",0.00,273.28,342.78,252.07,280.46,276.13,237.45,1424.72
"Merrill Lynch Funds Transfer",0.00,0.00,0.00,0.00,0.00,59237.07,9872.84,59237.07
"Mspbna Transfer",0.00,0.00,0.00,82109.61,0.00,0.00,13684.93,82109.61
"Nanoleaf",0.00,0.00,0.00,39.12,0.00,0.00,6.52,39.12
"Next Brick Prope",4535.00,4534.56,4534.56,0.00,0.00,0.00,2267.35,13604.12
"Next Brick Prope Sigonfile",0.00,0.00,0.00,4534.56,4534.56,4459.00,2254.69,13528.12
"Online Banking transfer from BRK 7503                       Confirmation# XXXXX92127",0.00,1375.00,0.00,0.00,0.00,0.00,229.17,1375.00
"Paid Leave Wa Future Amount Tran Ddir",0.00,0.00,0.00,3084.00,1542.00,0.00,771.00,4626.00
"Reconciliation Balance Adjustment",-10.12,0.00,0.00,0.00,4.64,0.00,-0.91,-5.48
"Venmo",0.00,0.00,0.00,253.85,0.00,0.00,42.31,253.85
"Total Income",92973.84,39323.61,22767.98,107972.29,30344.35,87440.02,63470.35,380822.09
"🔗 Fixed Costs",-28961.42,-32405.77,-26972.80,-28913.79,-97345.53,-26179.77,-40129.85,-240779.08
"2563 Mortgage",-9930.73,-9930.73,-10918.44,-10918.44,-10982.65,-10982.65,-10610.61,-63663.64
"8331 Mortgage",-4125.91,-4125.91,-4125.91,-4125.91,-4125.91,-4125.91,-4125.91,-24755.46
"Kia Loan",-1596.92,-1596.92,-1596.92,-2476.92,-3178.74,0.00,-1741.07,-10446.42
"Financial Planning",0.00,-1950.00,0.00,0.00,-1950.00,0.00,-650.00,-3900.00
"Groceries",-1860.53,-1572.83,-510.76,-1188.20,-1422.99,-1051.82,-1267.86,-7607.13
"Medical, Dental & Vision",-582.61,-1774.10,-4240.51,-1367.07,-1779.32,-2544.89,-2048.08,-12288.50
"Taxes 2024",0.00,-325.00,0.00,-325.00,-62299.00,0.00,-10491.50,-62949.00
"Nanny Salary",-5495.67,-9073.55,-4464.16,-4589.11,-9642.25,-4589.08,-6308.97,-37853.82
"Nanny Reimbursement",0.00,0.00,0.00,-17.99,-21.80,0.00,-6.63,-39.79
"Nanny Bonus",-3000.00,0.00,0.00,0.00,0.00,0.00,-500.00,-3000.00
"Internet & Cable",-150.00,-75.00,-75.00,-75.00,0.00,-75.00,-75.00,-450.00
"Electric & Gas",-214.54,-233.15,0.00,-931.80,0.00,-719.34,-349.81,-2098.83
"Water & Sewer",0.00,0.00,0.00,-297.55,0.00,0.00,-49.59,-297.55
"Phone Bill",-144.00,-144.00,-144.00,-144.00,-144.00,-144.00,-144.00,-864.00
"Dani Life Insurance",-112.81,-112.81,-112.81,-112.81,-112.81,-112.81,-112.81,-676.86
"Long Term Care Insurance",0.00,-268.32,0.00,0.00,-268.32,0.00,-89.44,-536.64
"Car & Umbrella Insurance",-725.10,-345.83,0.00,-345.83,-517.24,-517.25,-408.54,-2451.25
"Pet Food",-338.49,-268.93,-356.99,-268.94,-315.55,-266.33,-302.54,-1815.23
"Pet Medical",0.00,0.00,-229.02,-1228.53,0.00,0.00,-242.93,-1457.55
"Jaylen Clothes",-189.02,0.00,0.00,-4.95,-65.11,-25.00,-47.35,-284.08
"Jaylen Specific Food",-150.11,-226.41,-47.90,-238.21,-149.14,-196.74,-168.09,-1008.51
"Jaylen Haircut",0.00,0.00,0.00,-51.00,0.00,0.00,-8.50,-51.00
"Family Car General Expenses",-170.83,-313.11,-92.85,-60.42,-228.50,-173.72,-173.24,-1039.43
"Phil Car General Expenses",-174.15,-69.17,-57.53,-146.11,-142.20,-655.23,-207.40,-1244.39
"🤑 Post Tax Investments",0.00,0.00,0.00,-5530.97,0.00,0.00,-921.83,-5530.97
"HSA Catchup",0.00,0.00,0.00,-5525.22,0.00,0.00,-920.87,-5525.22
"Investments (Stocks, ETFs, MFs)",0.00,0.00,0.00,-5.75,0.00,0.00,-0.96,-5.75
"💵 Savings",-409.38,-3692.99,-23337.56,-3972.20,-892.40,-4911.43,-6202.66,-37215.96
"DC Conference ",0.00,0.00,0.00,0.00,0.00,-1479.60,-246.60,-1479.60
"Matthew’s Funeral Fund 🕊️",0.00,0.00,-17543.70,0.00,0.00,0.00,-2923.95,-17543.70
"Olson’s Visit Seattle June 2025",0.00,0.00,0.00,0.00,-379.18,-7.00,-64.36,-386.18
"Dani Miami March",0.00,0.00,-676.97,-606.29,0.00,0.00,-213.88,-1283.26
"Memorial Day JLS Trip - 2025",0.00,-482.44,0.00,0.00,0.00,0.00,-80.41,-482.44
"Dani Japan Trip CHI 2025",0.00,0.00,0.00,0.00,-491.58,-3385.87,-646.24,-3877.45
"Liv & Evan's Wedding",0.00,-1605.99,0.00,0.00,0.00,0.00,-267.67,-1605.99
"North Dakota Summer 2025",0.00,0.00,0.00,-2616.88,0.00,0.00,-436.15,-2616.88
"Tiya & Alex Wedding",0.00,-148.20,-431.32,-205.40,0.00,0.00,-130.82,-784.92
"Emergency Trip to Virginia Feb 2025",0.00,-1247.74,-4685.74,-538.00,0.00,0.00,-1078.58,-6471.48
"Unexpected Travel",0.00,-208.90,0.00,0.00,0.00,0.00,-34.82,-208.90
"Interest & Fees",180.71,0.28,0.17,-5.63,-21.64,-38.96,19.16,114.93
"Virginia Trip Thanksgiving 2024",-590.09,0.00,0.00,0.00,0.00,0.00,-98.35,-590.09
"✅ True Expenses",-2565.29,-1108.68,-470.75,-1430.14,-1023.31,-1115.65,-1285.64,-7713.82
"Household General or Uncategorized",-593.41,0.00,-19.61,-36.54,0.00,-33.53,-113.85,-683.09
"Household Goods (Products, Tools, Appliances, Items, etc)",-828.88,-268.17,-14.12,-319.47,-287.82,-73.01,-298.58,-1791.47
"Household Services",0.00,-89.00,-126.90,-14.12,-141.02,-36.07,-67.85,-407.11
"Utility (e.g. Stroller, Diapers, Wipes, etc)",-270.74,-172.86,0.00,-223.08,-98.49,-63.97,-138.19,-829.14
"Child Development (e.g. Books, Play, etc)",-172.26,-378.65,-210.12,-433.43,-91.39,-380.57,-277.74,-1666.42
"General Family Expenses",0.00,0.00,0.00,0.00,-1.09,0.00,-0.18,-1.09
"Donations & Giving",-100.00,-100.00,-100.00,-100.00,-100.00,-225.00,-120.83,-725.00
"House Cleaning",-600.00,-100.00,0.00,-303.50,-303.50,-303.50,-268.42,-1610.50
"👩🏽‍❤️‍👨🏼 Family Guilt Free Spending",-11376.19,-2362.02,-961.46,-3417.82,-2755.89,-5263.05,-4356.07,-26136.43
"Patio Improvements",0.00,0.00,0.00,0.00,0.00,-135.70,-22.62,-135.70
"Landscaping",0.00,0.00,0.00,0.00,0.00,-3533.41,-588.90,-3533.41
"Dining Out",-940.63,-705.72,-87.77,-979.34,-807.18,-413.44,-655.68,-3934.08
"Coffee Shop & Pastries",-141.61,-40.71,-50.46,-202.96,-227.02,-73.37,-122.69,-736.13
"Toys",-19.49,-22.04,0.00,0.00,-59.55,-37.66,-23.12,-138.74
"Childcare (outside of Nanny)",-251.51,-5.00,0.00,0.00,0.00,-108.00,-60.75,-364.51
"Date Night",0.00,0.00,-290.39,0.00,0.00,-50.20,-56.77,-340.59
"Babysitter",-680.00,-100.00,-120.00,-130.00,0.00,-210.00,-206.67,-1240.00
"General Fun Money",-740.17,-45.26,0.00,-304.20,-151.69,-85.26,-221.10,-1326.58
"Gifts",-116.49,-814.68,-148.25,-1178.74,-1076.13,-589.56,-653.98,-3923.85
"Personal Training",-808.11,-258.55,0.00,0.00,0.00,0.00,-177.78,-1066.66
"Pet Supplies (e.g. Toys, Bags, etc)",-43.03,-266.40,-88.05,-5.51,-169.50,-26.45,-99.82,-598.94
"Memorial Shelves",0.00,0.00,0.00,-44.13,0.00,0.00,-7.36,-44.13
"Apps & Electronics",-21.24,0.00,0.00,0.00,-64.12,0.00,-14.23,-85.36
"Furnishings & Furniture",-324.09,-15.45,-176.54,-572.94,-200.70,0.00,-214.95,-1289.72
"Christmas Gifts 2024",-2748.02,0.00,0.00,0.00,0.00,0.00,-458.00,-2748.02
"House Costs",-4008.29,0.00,0.00,0.00,0.00,0.00,-668.05,-4008.29
"Christmas General 2024",-533.51,-88.21,0.00,0.00,0.00,0.00,-103.62,-621.72
"👸🏽 Dani Guilt Free Spending",-1188.85,-260.91,-633.52,-1947.67,-374.43,-558.21,-827.26,-4963.59
"Dani Clothing",-511.33,-50.87,0.00,-1166.89,-71.26,0.00,-300.06,-1800.35
"Dani Personal Spending",-677.52,-210.04,-633.52,-780.78,-303.17,-558.21,-527.21,-3163.24
"🐥 Phil Guilt Free Spending",-1254.83,-282.07,-350.36,-1089.40,-312.94,-619.93,-651.59,-3909.53
"Phil Clothing",-255.37,0.00,-160.31,-385.39,0.00,0.00,-133.51,-801.07
"Phil Personal Spending",-605.08,-72.45,-148.18,-389.64,-197.68,-358.91,-295.32,-1771.94
"Phil Woodworking",-46.74,0.00,-41.87,-314.37,-115.26,-261.02,-129.88,-779.26
"Miata",-153.38,0.00,0.00,0.00,0.00,0.00,-25.56,-153.38
"Phil’s Office Renovation",-194.26,-209.62,0.00,0.00,0.00,0.00,-67.31,-403.88
"💸 Active Subscriptions",-142.81,-327.01,-243.23,-142.09,-122.93,-186.58,-194.11,-1164.65
"To Be Categorized Subscriptions",-16.59,-11.02,0.00,0.00,0.00,0.00,-4.60,-27.61
"YNAB",0.00,0.00,-120.29,0.00,0.00,0.00,-20.05,-120.29
"Hover",0.00,0.00,0.00,-19.17,0.00,0.00,-3.19,-19.17
"1Password",0.00,0.00,0.00,0.00,0.00,-63.65,-10.61,-63.65
"Bear App",-16.54,0.00,0.00,0.00,0.00,0.00,-2.76,-16.54
"Websites (AWS)",-3.64,-3.66,-3.65,-3.63,-3.64,-3.64,-3.64,-21.86
"iCloud 2TB Family",-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-9.99,-59.94
"YouTube Premium",-22.99,-17.34,-22.99,-22.99,-22.99,-22.99,-22.05,-132.29
"Simplisafe",-35.30,-45.30,0.00,0.00,0.00,0.00,-13.43,-80.60
"Amazon Prime",0.00,-153.39,0.00,0.00,0.00,0.00,-25.57,-153.39
"Spotify",-21.26,-21.26,-21.26,-21.26,-21.26,-21.26,-21.26,-127.56
"Audible",-16.50,-16.50,-16.50,-16.50,-16.50,-16.50,-16.50,-99.00
"Peloton",0.00,-48.55,-48.55,-48.55,-48.55,-48.55,-40.46,-242.75
" Reimbursable",-1341.08,-2958.58,0.00,0.00,-112.00,-324.00,-789.28,-4735.66
"Travel",-1341.08,-2958.58,0.00,0.00,-112.00,-324.00,-789.28,-4735.66
"Total Expenses",-47239.85,-43398.03,-52969.68,-46444.08,-102939.43,-39158.62,-55358.28,-332149.69
"Net Income",45733.99,-4074.42,-30201.70,61528.21,-72595.08,48281.40,8112.07,48672.40